Code_secteur_D;Pop_Sum;missing
"175555";"1852.0";0
"175556";"1444.0";0
"175557";"3740.0";0
"175558";"5929.0";0
"175559";"2485.0";0
"175651";"15313.0";0
"175652";"5495.0";0
"175653";"4296.0";0
"175654";"4612.0";0
"175655";"2460.0";0
"175656";"6617.0";0
"175657";"1811.0";0
"175658";"3529.0";0
"175659";"2491.0";0
"175660";"2692.0";0
"175751";"7560.0";0
"175752";"1708.0";0
"175753";"2636.0";0
"175754";"3908.0";0
"175755";"966.0";0
"175756";"1969.0";0
"175757";"3255.0";0
"175758";"2268.0";0
"175759";"1096.0";0
"175851";"12164.0";0
"175852";"3155.0";0
"175853";"5144.0";0
"175854";"8613.0";0
"175855";"12431.0";0
"175856";"5433.0";0
"175857";"7221.0";0
"175858";"6195.0";0
"175951";"12128.0";0
"175952";"7367.0";0
"175953";"2500.0";0
"176051";"4146.0";0
"176052";"3911.0";0
"176053";"2983.0";0
"176054";"3442.0";0
"176055";"1205.0";0
"176056";"2827.0";0
"176057";"1263.0";0
"176058";"3000.0";0
"176151";"6291.0";0
"176152";"4339.0";0
"176153";"6872.0";0
"176154";"4765.0";0
"176251";"14947.0";0
"176252";"11502.0";0
"176253";"14814.0";0
"176254";"9278.0";0
"176255";"6469.0";0
"176351";"1561.0";0
"176352";"11351.0";0
"176353";"10432.0";0
"176354";"5978.0";0
"176451";"21325.0";0
"176452";"15320.0";0
"176453";"5842.0";0
"176454";"5245.0";0
"176455";"2450.0";0
"176456";"11743.0";0
"176457";"2006.0";0
"215151";"6308.0";0
"215152";"12893.0";0
"215153";"9702.0";0
"215154";"6869.0";0
"215155";"10001.0";0
"215156";"5161.0";0
"215157";"3784.0";0
"215158";"2859.0";0
"215159";"4968.0";0
"215160";"3521.0";0
"215161";"2303.0";0
"215162";"2283.0";0
"215163";"1500.0";0
"215164";"2490.0";0
"215251";"8097.0";0
"215252";"4151.0";0
"215253";"9982.0";0
"215254";"3183.0";0
"215255";"5765.0";0
"215256";"2023.0";0
"215257";"2777.0";0
"215258";"1289.0";0
"215259";"1433.0";0
"215351";"4703.0";0
"215352";"3095.0";0
"215353";"1149.0";0
"215354";"666.0";0
"215355";"797.0";0
"215356";"679.0";0
"215357";"1459.0";0
"215358";"810.0";0
"215359";"1132.0";0
"215360";"1420.0";0
"215361";"1589.0";0
"215362";"1205.0";0
"215363";"1825.0";0
"215364";"874.0";0
"215451";"4701.0";0
"215452";"8672.0";0
"215453";"4943.0";0
"215454";"1852.0";0
"215455";"3217.0";0
"215456";"2276.0";0
"215457";"1121.0";0
"215458";"1553.0";0
"215459";"4699.0";0
"215460";"1733.0";0
"215461";"1346.0";0
"215462";"2576.0";0
"215463";"1250.0";0
"215464";"1869.0";0
"215465";"4103.0";0
"215466";"1662.0";0
"215551";"2522.0";0
"215552";"5581.0";0
"215553";"3899.0";0
"215554";"3338.0";0
"215555";"625.0";0
"215556";"1312.0";0
"215557";"1337.0";0
"215558";"290.0";1
"215559";"1211.0";0
"215560";"1299.0";0
"215651";"3699.0";0
"215652";"3468.0";0
"215653";"1406.0";0
"215654";"1965.0";0
"215751";"3398.0";0
"215752";"4740.0";0
"215753";"6307.0";0
"215754";"878.0";0
"215755";"1476.0";0
"215756";"1584.0";0
"215757";"6709.0";0
"215758";"1971.0";0
"215759";"1157.0";0
"215760";"5371.0";0
"215761";"1339.0";0
"215762";"571.0";0
"215851";"5691.0";0
"215852";"2065.0";0
"215853";"1794.0";0
"215854";"1611.0";0
"215855";"1406.0";0
"215856";"1058.0";0
"215857";"1640.0";0
"215858";"1502.0";0
"215951";"1780.0";0
"215952";"6828.0";0
"215953";"1851.0";0
"215954";"1033.0";0
"215955";"3139.0";0
"215956";"1301.0";0
"215957";"963.0";0
"215958";"2039.0";0
"215959";"1863.0";0
"215960";"2370.0";0
"215961";"483.0";0
"215962";"9925.0";0
"215963";"1491.0";0
"215964";"9813.0";0
"225151";"8477.0";0
"225152";"10260.0";0
"225153";"13139.0";0
"225154";"2848.0";0
"225155";"9126.0";0
"225156";"10237.0";0
"225157";"5034.0";0
"225158";"4000.0";0
"225159";"2152.0";0
"225160";"1197.0";0
"225161";"9202.0";0
"225162";"1670.0";0
"225251";"12964.0";0
"225252";"5850.0";0
"225253";"2592.0";0
"225254";"2564.0";0
"225255";"3603.0";0
"225256";"4803.0";0
"225257";"4944.0";0
"225258";"2904.0";0
"225259";"1999.0";0
"225260";"2464.0";0
"225351";"7850.0";0
"225352";"4159.0";0
"225353";"2923.0";0
"225354";"3957.0";0
"225355";"3486.0";0
"225356";"5229.0";0
"225357";"2854.0";0
"225358";"3949.0";0
"225359";"2693.0";0
"225451";"16348.0";0
"225452";"9239.0";0
"225453";"8184.0";0
"225454";"1797.0";0
"225455";"7014.0";0
"225456";"3655.0";0
"225457";"1281.0";0
"225458";"1370.0";0
"225551";"8494.0";0
"225552";"2956.0";0
"225553";"2513.0";0
"225554";"2182.0";0
"225555";"1006.0";0
"225556";"2515.0";0
"225557";"4451.0";0
"225558";"2463.0";0
"225559";"2841.0";0
"225560";"1613.0";0
"225561";"702.0";0
"225562";"570.0";0
"225651";"12504.0";0
"225652";"4610.0";0
"225653";"1650.0";0
"225654";"3259.0";0
"225655";"2213.0";0
"225656";"658.0";0
"225657";"1627.0";0
"225658";"3384.0";0
"225659";"1498.0";0
"225660";"2050.0";0
"225661";"2074.0";0
"225662";"2763.0";0
"225663";"2368.0";0
"225664";"4132.0";0
"225665";"3127.0";0
"225751";"15544.0";0
"225752";"4901.0";0
"225753";"3178.0";0
"225754";"2977.0";0
"225755";"3294.0";0
"225756";"3663.0";0
"225757";"7012.0";0
"225758";"5818.0";0
"225759";"2960.0";0
"225760";"1573.0";0
"225761";"4830.0";0
"225762";"6563.0";0
"225851";"5641.0";0
"225852";"2438.0";0
"225853";"4055.0";0
"225854";"927.0";0
"225855";"4273.0";0
"225951";"8859.0";0
"225952";"2028.0";0
"225953";"2764.0";0
"225954";"3114.0";0
"225955";"2061.0";0
"225956";"1106.0";0
"225957";"4365.0";0
"225958";"4084.0";0
"225959";"1748.0";0
"225960";"2967.0";0
"225961";"1354.0";0
"225962";"2015.0";0
"235151";"5252.0";0
"235152";"9013.0";0
"235153";"23273.0";0
"235251";"3955.0";0
"235252";"13184.0";0
"235253";"8730.0";0
"235254";"6127.0";0
"235255";"1486.0";0
"235256";"1615.0";0
"235257";"2832.0";0
"235258";"3632.0";0
"235351";"4873.0";0
"235352";"393.0";0
"235353";"1901.0";0
"235354";"2322.0";0
"235358";"1286.0";0
"235359";"3323.0";0
"235360";"1408.0";0
"235361";"2212.0";0
"235362";"933.0";0
"235451";"7628.0";0
"235452";"487.0";0
"235453";"1134.0";0
"235454";"1810.0";0
"235455";"1035.0";0
"235456";"1746.0";0
"235457";"1403.0";0
"235458";"930.0";0
"235551";"2130.0";0
"235552";"5303.0";0
"235553";"5777.0";0
"235554";"5584.0";0
"235555";"1830.0";0
"235556";"651.0";0
"235557";"1304.0";0
"235558";"1303.0";0
"235559";"1293.0";0
"235560";"1370.0";0
"235561";"254.0";0
"235562";"313.0";0
"235651";"8178.0";0
"235652";"875.0";0
"235653";"279.0";0
"235654";"489.0";0
"235655";"723.0";0
"235656";"625.0";0
"235657";"736.0";0
"235658";"692.0";0
"235659";"920.0";0
"235751";"3354.0";0
"235752";"320.0";0
"235753";"1522.0";0
"235754";"467.0";0
"235851";"2433.0";0
"235852";"1652.0";0
"235853";"2040.0";0
"235854";"831.0";0
"235855";"1354.0";0
"235856";"303.0";0
"235951";"6241.0";0
"235952";"2960.0";0
"235953";"1189.0";0
"235954";"1101.0";0
"235955";"1114.0";0
"235956";"2081.0";0
"236051";"4647.0";0
"236052";"7663.0";0
"236053";"4038.0";0
"236054";"2085.0";0
"236055";"2015.0";0
"236056";"2107.0";0
"236057";"1084.0";0
"236058";"789.0";0
"236059";"857.0";0
"236151";"921.0";0
"236152";"3713.0";0
"236153";"9250.0";0
"236154";"2061.0";0
"236155";"1785.0";0
"236156";"2108.0";0
"236157";"1146.0";0
"236158";"620.0";0
"236159";"1420.0";0
"236251";"2936.0";0
"236252";"1191.0";0
"236253";"864.0";0
"236254";"872.0";0
"245151";"13804.0";0
"245152";"7555.0";0
"245153";"2218.0";0
"245154";"1872.0";0
"245155";"960.0";0
"245156";"1143.0";0
"245157";"786.0";0
"245158";"463.0";0
"245251";"12892.0";0
"245252";"882.0";0
"245253";"1601.0";0
"245254";"4693.0";0
"245255";"1205.0";0
"245256";"891.0";0
"245257";"2424.0";0
"245258";"2075.0";0
"245259";"3290.0";0
"245351";"2303.0";0
"245352";"12744.0";0
"245353";"604.0";0
"245354";"1184.0";0
"245355";"1227.0";0
"245356";"1311.0";0
"245451";"5315.0";0
"245452";"4605.0";0
"245453";"1367.0";0
"245454";"2088.0";0
"245455";"284.0";0
"245456";"560.0";0
"245457";"1582.0";0
"245551";"4345.0";0
"245552";"6571.0";0
"245553";"1821.0";0
"245554";"1501.0";0
"245555";"1715.0";0
"245556";"2629.0";0
"245557";"1418.0";0
"245651";"4361.0";0
"245652";"1569.0";0
"245653";"664.0";0
"245654";"2068.0";0
"245655";"1775.0";0
"245656";"1118.0";0
"245751";"7052.0";0
"245752";"7360.0";0
"245753";"2363.0";0
"245754";"1193.0";0
"245755";"1194.0";0
"245756";"1531.0";0
"245757";"1315.0";0
"245758";"1376.0";0
"245759";"876.0";0
"245760";"1984.0";0
"245761";"2077.0";0
"245851";"3067.0";0
